Accordion Text,Product Name,Product Link,Cultivos Clave
HERBICIDAS (30),AGROCER,https://www.upl-ltd.com/es/Productos/agrocer,"Áreas no cultivadas, Arroz, Avena, Cebada, Centeno, Cítricos, Frutales de pepita, Maíz, Olivo, Prados de gramíneas, Trigo, Triticale"
HERBICIDAS (30),AUSTIN,https://www.upl-ltd.com/es/Productos/austin,"Cítricos, Olivo, Vid"
HERBICIDAS (30),BETASANA® SC,https://www.upl-ltd.com/es/Productos/betasana,"Remolacha azucarera, Remolacha de mesa, Remolacha forrajera"
HERBICIDAS (30),BETTIX® FLO,https://www.upl-ltd.com/es/Productos/bettix-flo,"Remolacha azucarera, Remolacha forrajera"
HERBICIDAS (30),BUGUIS®,https://www.upl-ltd.com/es/Productos/buguis,Trigo
HERBICIDAS (30),CARECA®,https://www.upl-ltd.com/es/Productos/careca,"Alfalfa, Cardos comestibles, Cebolleta, Colza, Escarola, Guisante proteaginoso, Lechuga"
HERBICIDAS (30),CITATION®,https://www.upl-ltd.com/es/Productos/citation-1,Patata
HERBICIDAS (30),CLIOPHAR® 600 SL,https://www.upl-ltd.com/es/Productos/cliophar-600-sl,"Cebada, Colza, Maíz forrajero, Remolacha azucarera, Remolacha de mesa, Remolacha forrajera, Trigo"
HERBICIDAS (30),COSMIC DUO®,https://www.upl-ltd.com/es/Productos/cosmic-duo,"Aguacate, Caqui, Cítricos, Frutales de cáscara, Frutales de hueso, Frutales de pepita, Olivo"
HERBICIDAS (30),DEVRINOL MAX,https://www.upl-ltd.com/es/Productos/devrinol-max,Arroz
HERBICIDAS (30),DEVRINOL® 45 F,https://www.upl-ltd.com/es/Productos/devrinol,Cítricos
HERBICIDAS (30),DEVRINOL® F,https://www.upl-ltd.com/es/Productos/devrinol-f,"Albaricoquero, Ciruelo, Colza, Endrino, Hierbas aromáticas y flores comestibles, Manzano, Membrillero, Peral, Vid"
HERBICIDAS (30),DINGO®,https://www.upl-ltd.com/es/Productos/dingo,"Cebada, Maíz, Trigo"
HERBICIDAS (30),ETHOFOL® 500,https://www.upl-ltd.com/es/Productos/ethofol-500,Remolacha azucarera
HERBICIDAS (30),FINY®,https://www.upl-ltd.com/es/Productos/finy,"Cebada, Trigo"
HERBICIDAS (30),GENOXONE® ZX,https://www.upl-ltd.com/es/Productos/genoxone-zx,"Áreas no cultivadas, Leñosas, Praderas"
HERBICIDAS (30),LODIN®,https://www.upl-ltd.com/es/Productos/lodin,"Cítricos, Olivo"
HERBICIDAS (30),LONDAX®,https://www.upl-ltd.com/es/Productos/londax,Arroz
HERBICIDAS (30),MCPA ÁCIDO 50 UPL,https://www.upl-ltd.com/es/Productos/mcpa-acido-50-upl,"Arroz, Cereales de primavera e invierno, Cítricos, Frutales de cáscara, Frutales de hueso, Frutales de pepita, Gramíneas (prados de siembra), Granado, Higuera, Maíz, Olivo, Praderas de siembra, Praderas naturales, Prados de gramíneas y praderas"
HERBICIDAS (30),MINSTREL® 200 EC,https://www.upl-ltd.com/es/Productos/minstrel-200-ec,"Avena, Cebada, Centeno, Maíz, Prados de gramíneas, Trigo, Triticale"
HERBICIDAS (30),NYOTA,https://www.upl-ltd.com/es/Productos/nyota,"Cebada, Centeno, Trigo, Triticale"
HERBICIDAS (30),OBLIX® MT,https://www.upl-ltd.com/es/Productos/oblix-mt,"Remolacha azucarera, Remolacha forrajera"
HERBICIDAS (30),QUIDAM®,https://www.upl-ltd.com/es/Productos/quidam,"Cebada, Trigo de invierno"
HERBICIDAS (30),RANGO®,https://www.upl-ltd.com/es/Productos/rango,"Cebolla, Colza, Garbanzos, Girasol, Guisantes para grano, Judías para grano, Lentejas, Patata, Remolacha azucarera, Remolacha forrajera, Soja"
HERBICIDAS (30),SELECT® MAX,https://www.upl-ltd.com/es/Productos/select-max-1,"Adormidera, Ajo, Alcachofa, Alfalfa, Algodón, Cacahuete, Camelina, Cebolla, Colza, Girasol, Leguminosas de grano  - judía y guisante (secos), Patata, Remolacha azucarera, Tomate, Zanahoria"
HERBICIDAS (30),SEMPRA®,https://www.upl-ltd.com/es/Productos/sempra,"Almendro, Avellano, Caqui, Castaño, Cebada, Centeno, Espelta, Lima, Limonero, Mandarino, Naranjo, Nogal, Nuez de pecán, Olivo, Pecano, Pomelo, Toronja, Trigo, Triticale"
HERBICIDAS (30),SILBOS®,https://www.upl-ltd.com/es/Productos/silbos,"Ajo, Alcachofa, Arbustos ornamentales, Brécol, Cebolla, Cereales, Cítricos, Coliflor, Fresal, Frutales de hueso, Frutales de pepita, Girasol, Guisantes verdes, Lechuga, Leguminosas, Maíz, Patata, Repollo, Soja, Tabaco, Tomate, Vid, Zanahoria"
HERBICIDAS (30),TROY®,https://www.upl-ltd.com/es/Productos/troy,"Arroz, Maíz"
HERBICIDAS (30),XANADU®,https://www.upl-ltd.com/es/Productos/xanadu-1,"Avena, Cebada, Centeno, Trigo, Triticale"
FUNGICIDAS (29),ABSIDEL,https://www.upl-ltd.com/es/Productos/absidel,"Centeno, Trigo, Triticale"
